,sentence,mistake_index
,יישר כוח למר דונלד טראמפ כאשר אתה מראה בג'ונגל של העולם שאתה אריה כולם מפחדים מימך,15
,למה שברתה,1
,מוטי תתפוצץ מקינאה,2
,תפסו אותי רואה פרונו,3
,גוגל עושה ל דאווינים של כלבה אובססיבית,2
,שבט שלום,0
,גודלים שיהיו בריאים,0
,אם הוא לא זוכה אני מוותרתתת,5
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,0
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,2
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,3
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,7
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,11
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,13
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,15
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,16
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,17
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,18
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,19
,טקשיבו זה אוד לו סופי סופי כי אוד לא שמתי את החתימא שלי אל החוזה שכיבלטי אבל נירה לי שמצאטי אבודה חדשה,20
,אני אמן פאתוי,2
,זוט עני,0
,זוט עני,1